State;City;Population;Violent_crime;Murder;Rape;Robbery;Aggravated_assault;Property_crime;Burglary;Larceny_theft;Vehicle_theft;Arson
CALIFORNIA;Coronado;21 115;9;0;1;7;1;324;34;276;14;2
CALIFORNIA;Costa Mesa;114 047;312;0;52;104;156;3 739;450;2 934;355;16
CALIFORNIA;Cotati;7 641;40;1;6;5;28;95;15;68;12;1
CALIFORNIA;Covina;47 985;171;2;25;43;101;1 189;239;779;171;11
CALIFORNIA;Crescent City;6 716;23;0;2;8;13;311;59;238;14;6
CALIFORNIA;Cudahy;23 828;89;2;2;29;56;214;39;111;64;3
CALIFORNIA;Culver City;39 252;182;0;2;102;78;1 647;172;1 380;95;1
CALIFORNIA;Cupertino;60 357;55;1;6;14;34;1 018;175;803;40;1
CALIFORNIA;Cypress;49 085;52;1;7;21;23;596;98;424;74;2
CALIFORNIA;Daly City;107 748;232;0;44;91;97;1 868;170;1 517;181;12
CALIFORNIA;Dana Point;33 779;52;0;0;18;34;399;61;311;27;0
CALIFORNIA;Danville;44 997;23;1;5;7;10;296;36;247;13;1
CALIFORNIA;Davis;69 767;107;2;21;44;40;2 190;274;1 816;100;4
CALIFORNIA;Delano;53 002;205;8;8;33;156;1 118;203;603;312;40
CALIFORNIA;Del Mar;4 369;7;0;1;2;4;67;17;37;13;0
CALIFORNIA;Del Rey Oaks;1 674;7;0;0;6;1;39;8;30;1;0
CALIFORNIA;Desert Hot Springs;29 107;255;5;13;59;178;680;301;216;163;4
CALIFORNIA;Diamond Bar;56 364;72;1;4;25;42;908;282;574;52;2
CALIFORNIA;Dinuba;24 685;161;1;5;25;130;530;58;405;67;20
CALIFORNIA;Dixon;20 775;54;0;4;14;36;389;35;284;70;3
CALIFORNIA;Dorris;897;4;0;0;0;4;11;8;2;1;0
CALIFORNIA;Dos Palos;5 594;64;0;0;2;62;169;36;89;44;3
CALIFORNIA;Downey;112 330;352;4;30;151;167;2 473;344;1 566;563;4
CALIFORNIA;Duarte;21 550;55;0;2;10;43;305;48;215;42;1
CALIFORNIA;Dublin;66 072;107;0;7;43;57;1 259;114;1 052;93;3
CALIFORNIA;Dunsmuir;1 564;14;0;4;0;10;18;6;11;1;0
CALIFORNIA;East Palo Alto;29 686;144;1;22;57;64;533;67;360;106;6
CALIFORNIA;Eastvale;66 310;83;0;3;23;57;944;151;676;117;0
CALIFORNIA;El Cajon;103 686;552;3;38;201;310;2 046;371;1 316;359;15
CALIFORNIA;El Centro;44 303;143;3;9;41;90;1 184;228;861;95;7
CALIFORNIA;El Cerrito;25 857;152;1;4;91;56;1 300;166;1 054;80;7
CALIFORNIA;Elk Grove;175 492;372;0;35;114;223;2 599;292;2 107;200;10
CALIFORNIA;El Monte;115 830;304;2;34;126;142;1 787;347;1 046;394;17
CALIFORNIA;El Segundo;16 727;82;0;5;30;47;625;164;387;74;1
CALIFORNIA;Emeryville;12 380;166;0;12;114;40;2 623;95;2 415;113;3
CALIFORNIA;Encinitas;63 320;86;2;10;15;59;605;115;422;68;1
CALIFORNIA;Escalon;7 644;16;0;1;0;15;135;25;102;8;1
CALIFORNIA;Escondido;153 215;536;4;51;143;338;2 373;379;1 599;395;8
CALIFORNIA;Etna;716;2;0;1;0;1;0;0;0;0;0
CALIFORNIA;Eureka;26 973;195;3;29;63;100;1 350;187;977;186;24
CALIFORNIA;Exeter;10 557;26;0;5;5;16;265;52;188;25;1
CALIFORNIA;Fairfax;7 569;9;0;3;0;6;92;13;77;2;0
CALIFORNIA;Fairfield;118 383;442;5;48;162;227;3 782;359;2 780;643;23
CALIFORNIA;Farmersville;10 781;35;0;0;5;30;190;24;138;28;3
CALIFORNIA;Ferndale;1 363;4;0;0;0;4;24;2;17;5;0
CALIFORNIA;Fillmore;15 911;20;0;5;3;12;123;24;89;10;4
CALIFORNIA;Firebaugh;8 433;11;0;2;2;7;103;15;51;37;0
CALIFORNIA;Folsom;79 927;82;0;12;29;41;1 484;278;1 127;79;3
CALIFORNIA;Fontana;215 883;739;6;83;206;444;3 094;483;1 846;765;9
CALIFORNIA;Fort Bragg;7 366;32;0;5;7;20;316;38;262;16;1
CALIFORNIA;Fort Jones;690;2;0;1;0;1;34;12;21;1;0
CALIFORNIA;Fortuna;12 317;28;0;2;9;17;317;50;231;36;7
CALIFORNIA;Foster City;34 624;39;0;10;8;21;425;63;341;21;2
CALIFORNIA;Fountain Valley;55 858;53;0;5;23;25;1 163;163;914;86;7
CALIFORNIA;Fowler;6 904;29;1;2;5;21;104;42;43;19;0
CALIFORNIA;Fremont;240 887;400;1;36;159;204;4 523;547;3 408;568;17
CALIFORNIA;Fullerton;140 194;373;2;80;108;183;3 157;318;2 479;360;13
CALIFORNIA;Galt;26 796;77;0;10;15;52;449;71;340;38;7
CALIFORNIA;Gardena;59 833;324;3;20;131;170;1 202;236;658;308;6
CALIFORNIA;Garden Grove;172 832;505;6;54;185;260;3 909;627;2 778;504;17
CALIFORNIA;Gilroy;60 106;251;5;37;69;140;1 479;186;1 034;259;23
CALIFORNIA;Glendale;202 601;231;5;16;93;117;3 305;480;2 562;263;13
CALIFORNIA;Glendora;52 211;155;1;21;38;95;1 501;187;1 241;73;6
CALIFORNIA;Goleta;30 930;40;0;2;6;32;509;114;355;40;0
CALIFORNIA;Gonzales;8 408;17;0;1;4;12;73;12;40;21;1
CALIFORNIA;Grand Terrace;12 651;37;1;4;8;24;237;55;149;33;4
CALIFORNIA;Grass Valley;12 919;73;3;0;6;64;463;76;326;61;1
CALIFORNIA;Greenfield;17 809;54;1;9;9;35;165;31;98;36;12
CALIFORNIA;Gridley;6 618;29;0;15;3;11;205;47;136;22;3
CALIFORNIA;Grover Beach;13 574;13;0;3;1;9;239;56;151;32;1
CALIFORNIA;Guadalupe;7 696;15;0;2;3;10;82;32;34;16;2
CALIFORNIA;Gustine;5 896;21;0;2;4;15;116;32;54;30;3
CALIFORNIA;Hanford;57 232;257;0;18;40;199;1 242;131;900;211;15
CALIFORNIA;Hawaiian Gardens;14 320;76;0;5;24;47;225;68;101;56;3
CALIFORNIA;Hawthorne;87 305;636;3;34;190;409;1 485;199;930;356;7
CALIFORNIA;Hayward;161 588;552;5;54;275;218;4 886;448;3 197;1 241;27
CALIFORNIA;Healdsburg;12 208;17;1;1;3;12;176;17;142;17;0
CALIFORNIA;Hemet;86 082;343;5;23;121;194;2 877;757;1 547;573;21
CALIFORNIA;Hercules;25 789;31;0;5;15;11;341;31;278;32;0
CALIFORNIA;Hermosa Beach;19 460;51;0;7;9;35;449;97;326;26;4
CALIFORNIA;Hesperia;95 915;462;8;35;111;308;1 664;443;893;328;17
CALIFORNIA;Hidden Hills;1 903;1;0;1;0;0;18;10;7;1;0
CALIFORNIA;Highland;55 686;362;7;19;90;246;906;167;511;228;8
CALIFORNIA;Hillsborough;11 521;5;0;0;1;4;97;46;49;2;0
CALIFORNIA;Hollister;40 399;114;1;15;27;71;311;61;174;76;5
CALIFORNIA;Holtville;6 774;14;0;1;2;11;70;13;53;4;4
CALIFORNIA;Hughson;7 671;5;0;0;0;5;46;8;29;9;0
CALIFORNIA;Huntington Beach;201 843;386;2;61;99;224;4 144;535;3 280;329;22
CALIFORNIA;Huntington Park;58 181;458;3;31;249;175;1 595;214;861;520;9
CALIFORNIA;Huron;7 359;83;0;1;10;72;56;13;25;18;13
CALIFORNIA;Imperial;18 090;5;0;0;1;4;56;10;36;10;0
CALIFORNIA;Imperial Beach;27 583;72;0;5;16;51;331;57;195;79;1
CALIFORNIA;Indian Wells;5 500;13;0;1;2;10;138;44;89;5;0
CALIFORNIA;Indio;92 803;530;1;45;118;366;1 880;304;1 218;358;6
CALIFORNIA;Industry;201;72;0;1;41;30;1 180;156;899;125;7
CALIFORNIA;Inglewood;109 386;671;2;51;358;260;2 321;308;1 356;657;8
CALIFORNIA;Ione;8 454;11;0;1;1;9;46;9;35;2;0
CALIFORNIA;Irvine;292 673;188;1;52;66;69;3 823;574;3 086;163;9
CALIFORNIA;Irwindale;1 469;26;0;1;8;17;240;73;139;28;3
CALIFORNIA;Isleton;849;7;1;0;0;6;4;1;2;1;0
CALIFORNIA;Jackson;4 797;30;0;3;0;27;133;15;107;11;9
CALIFORNIA;Jurupa Valley;110 111;317;6;7;86;218;2 494;406;1 346;742;8
CALIFORNIA;Kensington;5 407;5;0;1;1;3;48;15;25;8;0
CALIFORNIA;Kerman;15 223;23;0;3;4;16;308;58;214;36;0
CALIFORNIA;King City;14 170;19;0;3;9;7;148;43;80;25;10
CALIFORNIA;Kingsburg;12 123;18;0;2;3;13;219;76;107;36;1
CALIFORNIA;La Canada Flintridge;20 223;15;0;2;6;7;323;114;198;11;0
CALIFORNIA;Lafayette;26 872;4;0;1;3;0;358;42;286;30;0
CALIFORNIA;Laguna Beach;23 020;38;1;17;5;15;326;43;261;22;3
CALIFORNIA;Laguna Hills;31 123;32;0;3;15;14;405;82;288;35;2
CALIFORNIA;Laguna Niguel;66 671;43;1;9;12;21;607;105;463;39;2
CALIFORNIA;Laguna Woods;16 043;7;0;0;2;5;124;20;96;8;0
CALIFORNIA;La Habra;62 416;140;0;20;41;79;1 122;188;789;145;0
CALIFORNIA;La Habra Heights;5 357;4;0;0;1;3;79;29;45;5;1
CALIFORNIA;Lake Elsinore;70 262;173;3;3;43;124;2 005;233;1 409;363;4
CALIFORNIA;Lake Forest;86 691;66;1;7;14;44;684;108;503;73;2
CALIFORNIA;Lakeport;4 959;34;0;3;7;24;160;29;110;21;0
CALIFORNIA;Lake Shastina;2 566;3;0;0;0;3;10;2;6;2;0
CALIFORNIA;Lakewood;80 151;222;0;20;104;98;1 846;303;1 354;189;3
CALIFORNIA;La Mesa;59 865;174;1;22;76;75;1 000;138;715;147;2
CALIFORNIA;La Mirada;48 702;86;0;6;28;52;701;145;463;93;3
CALIFORNIA;Lancaster;159 335;1 359;7;114;374;864;3 346;792;1 916;638;49
CALIFORNIA;La Palma;15 571;17;0;1;7;9;302;41;242;19;1
CALIFORNIA;La Puente;39 916;151;3;6;53;89;449;75;248;126;5
CALIFORNIA;La Quinta;42 044;68;5;5;17;41;1 032;158;809;65;1
CALIFORNIA;La Verne;32 344;51;1;6;13;31;627;133;447;47;2
CALIFORNIA;Lawndale;32 751;125;1;6;40;78;411;83;228;100;4
CALIFORNIA;Lemon Grove;27 175;167;2;4;54;107;552;67;365;120;1
CALIFORNIA;Lemoore;26 728;126;1;17;14;94;372;71;264;37;6
CALIFORNIA;Lincoln;48 625;32;0;4;4;24;468;78;351;39;2
CALIFORNIA;Lindsay;13 708;69;0;5;13;51;250;48;119;83;8
CALIFORNIA;Livermore;91 418;193;2;30;39;122;1 554;139;1 279;136;4
CALIFORNIA;Livingston;14 607;40;0;1;11;28;315;85;164;66;0
CALIFORNIA;Lodi;67 612;237;3;16;88;130;1 658;358;1 016;284;15
CALIFORNIA;Loma Linda;24 512;77;0;7;17;53;559;125;336;98;5
CALIFORNIA;Lomita;20 553;67;0;4;26;37;254;53;161;40;2
CALIFORNIA;Lompoc;42 818;291;7;29;32;223;1 057;238;583;236;18
CALIFORNIA;Long Beach;467 974;2 369;34;249;958;1 128;11 297;2 185;6 754;2 358;153
CALIFORNIA;Los Alamitos;11 541;6;0;1;3;2;130;41;73;16;1
CALIFORNIA;Los Altos;30 716;21;0;3;4;14;310;107;181;22;3
CALIFORNIA;Los Altos Hills;8 622;3;0;1;0;2;67;29;38;0;0
CALIFORNIA;Los Angeles;4 015 546;29 400;258;2 274;9 652;17 216;95 704;13 809;66 253;15 642;1 672
CALIFORNIA;Los Banos;40 607;143;2;12;36;93;886;231;506;149;5
CALIFORNIA;Los Gatos;30 793;14;0;2;6;6;419;57;332;30;0
CALIFORNIA;Lynwood;70 619;454;1;21;218;214;1 419;189;723;507;14
CALIFORNIA;Madera;66 250;334;2;32;77;223;1 301;235;824;242;10
CALIFORNIA;Malibu;12 794;44;1;5;16;22;416;86;311;19;3
CALIFORNIA;Mammoth Lakes;8 114;42;0;15;1;26;131;17;105;9;2
CALIFORNIA;Manhattan Beach;35 583;55;0;5;33;17;851;160;648;43;1
CALIFORNIA;Manteca;83 523;199;3;27;66;103;1 848;239;1 327;282;18
CALIFORNIA;Marina;22 911;43;0;6;10;27;361;67;242;52;1
CALIFORNIA;Martinez;38 692;83;0;17;26;40;570;99;386;85;11
CALIFORNIA;Marysville;12 572;116;2;20;23;71;541;81;324;136;9
CALIFORNIA;Maywood;27 286;90;2;7;23;58;296;60;143;93;3
CALIFORNIA;McFarland;15 529;67;3;14;9;41;163;52;53;58;21
CALIFORNIA;Mendota;11 433;83;1;4;4;74;155;45;50;60;1
CALIFORNIA;Menifee;94 595;145;2;4;47;92;1 892;269;1 273;350;0
CALIFORNIA;Menlo Park;34 871;50;0;16;13;21;774;110;633;31;0
CALIFORNIA;Merced;83 854;540;5;34;103;398;2 342;396;1 439;507;70
CALIFORNIA;Mill Valley;14 343;20;0;1;9;10;223;36;177;10;1
CALIFORNIA;Milpitas;82 344;102;2;15;48;37;2 193;201;1 791;201;2
CALIFORNIA;Mission Viejo;95 453;65;1;8;22;34;866;121;689;56;5
CALIFORNIA;Modesto;216 542;1 758;13;94;399;1 252;7 183;1 149;4 849;1 185;95
CALIFORNIA;Monrovia;36 730;43;1;9;16;17;845;87;686;72;10
CALIFORNIA;Montague;1 399;8;0;1;0;7;32;15;13;4;0
CALIFORNIA;Montclair;39 787;234;2;35;70;127;1 469;355;868;246;24
CALIFORNIA;Montebello;62 650;178;0;11;90;77;1 448;480;580;388;81
CALIFORNIA;Monterey;28 337;78;0;11;23;44;975;127;774;74;4
CALIFORNIA;Monterey Park;60 424;126;0;7;59;60;1 355;267;929;159;0
CALIFORNIA;Monte Sereno;3 507;0;0;0;0;0;12;2;9;1;0
CALIFORNIA;Moorpark;36 826;26;0;7;7;12;228;34;183;11;0
CALIFORNIA;Moraga;17 908;23;0;1;3;19;124;36;79;9;3
CALIFORNIA;Moreno Valley;210 979;847;15;19;290;523;5 534;966;3 489;1 079;9
CALIFORNIA;Morgan Hill;46 118;52;2;3;14;33;703;102;507;94;0
CALIFORNIA;Morro Bay;10 624;21;0;1;3;17;127;15;102;10;0
CALIFORNIA;Mountain View;84 599;165;0;20;49;96;2 463;321;2 030;112;6
CALIFORNIA;Mount Shasta;3 274;12;1;0;2;9;35;5;24;6;0
CALIFORNIA;Murrieta;116 413;77;3;19;26;29;1 512;206;1 080;226;4
CALIFORNIA;Napa;79 526;280;1;66;55;158;1 232;248;847;137;46
CALIFORNIA;National City;61 791;364;0;26;130;208;1 123;114;735;274;5
CALIFORNIA;Needles;5 001;71;1;4;6;60;174;66;97;11;10
CALIFORNIA;Nevada City;3 150;15;0;4;1;10;89;26;49;14;1
CALIFORNIA;Newark;48 945;85;0;13;40;32;1 399;187;1 090;122;6
CALIFORNIA;Newman;11 844;16;0;2;3;11;113;25;68;20;1
CALIFORNIA;Newport Beach;85 325;135;5;29;32;69;1 764;273;1 344;147;7
CALIFORNIA;Norco;26 557;49;0;3;14;32;669;136;434;99;0
CALIFORNIA;Norwalk;105 067;432;5;21;138;268;1 571;343;922;306;18
CALIFORNIA;Novato;56 134;148;0;6;26;116;890;102;711;77;3
CALIFORNIA;Oakdale;23 808;40;1;5;9;25;531;99;342;90;0
CALIFORNIA;Oakland;434 036;5 520;78;372;2 859;2 211;27 868;2 599;20 228;5 041;207
CALIFORNIA;Oakley;43 014;51;0;7;17;27;497;74;336;87;3
CALIFORNIA;Oceanside;177 129;712;4;97;163;448;3 736;426;2 858;452;23
CALIFORNIA;Ojai;7 499;8;0;5;0;3;74;15;56;3;1
CALIFORNIA;Ontario;183 322;659;10;85;223;341;4 290;710;2 652;928;31
CALIFORNIA;Orange;139 830;180;3;18;76;83;2 184;387;1 546;251;7
CALIFORNIA;Orange Cove;9 635;18;0;0;2;16;61;12;38;11;0
CALIFORNIA;Orinda;20 071;17;5;2;7;3;195;52;125;18;0
CALIFORNIA;Orland;7 679;33;0;4;8;21;134;23;86;25;0
CALIFORNIA;Oroville;19 268;122;2;24;30;66;822;176;435;211;19
CALIFORNIA;Oxnard;211 349;724;13;62;275;374;4 242;670;2 987;585;48
CALIFORNIA;Pacifica;38 938;79;1;22;14;42;533;81;408;44;2
CALIFORNIA;Pacific Grove;15 605;14;0;1;1;12;169;27;136;6;0
CALIFORNIA;Palmdale;157 138;658;8;55;194;401;2 230;447;1 384;399;17
CALIFORNIA;Palm Desert;53 776;136;3;7;24;102;1 848;338;1 382;128;6
CALIFORNIA;Palm Springs;48 846;267;7;38;66;156;1 966;502;1 210;254;4
CALIFORNIA;Palo Alto;66 938;86;1;10;46;29;1 983;179;1 722;82;8
CALIFORNIA;Palos Verdes Estates;13 400;4;0;0;1;3;88;36;49;3;0
CALIFORNIA;Paradise;26 879;22;0;5;1;16;202;83;51;68;1
CALIFORNIA;Paramount;54 422;347;4;16;151;176;1 246;187;775;284;6
CALIFORNIA;Parlier;15 384;62;0;2;9;51;179;24;106;49;7
CALIFORNIA;Pasadena;141 913;613;4;46;147;416;2 866;570;2 036;260;34
CALIFORNIA;Paso Robles;32 528;53;0;9;13;31;646;78;523;45;3
CALIFORNIA;Patterson;22 584;46;0;6;14;26;434;81;249;104;3
CALIFORNIA;Perris;80 500;262;4;6;97;155;2 071;268;1 248;555;5
CALIFORNIA;Petaluma;62 425;190;3;22;28;137;789;109;626;54;9
CALIFORNIA;Pico Rivera;62 880;234;3;16;67;148;1 052;198;581;273;11
CALIFORNIA;Piedmont;11 307;14;0;3;5;6;227;46;162;19;1
CALIFORNIA;Pinole;19 439;59;0;2;17;40;866;77;726;63;0
CALIFORNIA;Pismo Beach;8 285;29;0;0;6;23;341;89;236;16;1
CALIFORNIA;Pittsburg;73 637;446;7;41;157;241;1 660;256;983;421;19
CALIFORNIA;Placentia;51 756;192;0;13;28;151;889;275;511;103;0
CALIFORNIA;Placerville;11 123;39;0;2;6;31;281;67;164;50;0
CALIFORNIA;Pleasant Hill;35 125;88;0;11;41;36;1 484;112;1 276;96;6
CALIFORNIA;Pleasanton;84 017;112;0;12;56;44;1 632;149;1 386;97;4
CALIFORNIA;Pomona;152 776;940;12;101;342;485;4 208;816;2 529;863;15
CALIFORNIA;Porterville;60 209;192;2;7;47;136;1 297;213;835;249;3
CALIFORNIA;Port Hueneme;22 232;43;0;5;14;24;415;63;305;47;3
CALIFORNIA;Poway;49 928;51;2;2;12;35;490;91;354;45;1
CALIFORNIA;Rancho Cordova;75 869;225;5;12;56;152;1 422;233;1 004;185;4
CALIFORNIA;Rancho Cucamonga;179 247;500;4;39;108;349;3 456;590;2 560;306;13
CALIFORNIA;Rancho Mirage;18 481;45;0;1;7;37;628;120;459;49;0
CALIFORNIA;Rancho Palos Verdes;41 961;29;2;3;2;22;313;102;199;12;1
CALIFORNIA;Rancho Santa Margarita;48 377;30;0;4;12;14;296;34;250;12;0
CALIFORNIA;Red Bluff;14 308;133;1;26;14;92;787;205;467;115;21
CALIFORNIA;Redlands;71 941;257;1;40;70;146;2 108;330;1 534;244;20
CALIFORNIA;Redondo Beach;67 473;160;1;5;53;101;1 370;260;992;118;1
CALIFORNIA;Redwood City;87 427;189;0;32;70;87;1 343;165;1 014;164;13
CALIFORNIA;Reedley;25 740;117;1;7;12;97;235;69;117;49;5
CALIFORNIA;Rialto;103 965;595;8;65;185;337;3 149;403;2 179;567;16
CALIFORNIA;Richmond;110 988;1 034;16;36;307;675;4 188;469;2 480;1 239;36
CALIFORNIA;Ridgecrest;29 101;142;3;31;7;101;401;119;243;39;4
CALIFORNIA;Rio Dell;3 392;11;1;1;1;8;61;21;36;4;1
CALIFORNIA;Rio Vista;9 502;11;0;2;3;6;140;31;87;22;0
CALIFORNIA;Ripon;16 103;13;0;6;4;3;248;23;206;19;0
CALIFORNIA;Riverbank;25 045;24;1;3;7;13;375;49;273;53;3
CALIFORNIA;Riverside;333 260;1 686;17;139;476;1 054;9 790;1 302;6 997;1 491;75
CALIFORNIA;Rocklin;68 554;67;0;22;13;32;983;168;738;77;6
CALIFORNIA;Rohnert Park;44 131;267;0;28;28;211;786;93;615;78;8
CALIFORNIA;Rolling Hills;1 868;1;0;0;0;1;8;6;2;0;0
CALIFORNIA;Rolling Hills Estates;8 151;10;0;0;3;7;126;35;82;9;1
CALIFORNIA;Rosemead;54 489;175;1;11;74;89;942;196;552;194;8
CALIFORNIA;Roseville;141 744;259;4;32;96;127;3 154;389;2 518;247;19
CALIFORNIA;Ross;2 470;2;0;0;0;2;25;5;19;1;0
CALIFORNIA;Sacramento;513 934;3 223;34;127;1 039;2 023;16 354;2 993;10 644;2 717;179
CALIFORNIA;Salinas;156 943;782;8;66;241;467;3 532;742;1 709;1 081;26
CALIFORNIA;San Bernardino;216 715;2 858;46;140;906;1 766;9 081;2 029;4 974;2 078;75
CALIFORNIA;San Bruno;43 297;138;0;17;34;87;1 139;116;948;75;5
CALIFORNIA;San Clemente;65 018;87;1;3;29;54;918;160;700;58;4
CALIFORNIA;Sand City;407;9;0;0;2;7;77;4;70;3;0
CALIFORNIA;San Diego;1 441 737;5 215;50;561;1 346;3 258;27 141;3 543;18 426;5 172;122
CALIFORNIA;San Dimas;34 059;78;0;15;15;48;833;113;659;61;1
CALIFORNIA;San Fernando;24 621;80;1;4;25;50;243;52;112;79;2
CALIFORNIA;San Francisco;886 007;5 933;40;324;3 055;2 514;48 780;4 644;39 887;4 249;275
CALIFORNIA;San Gabriel;40 422;98;0;2;58;38;715;202;468;45;3
CALIFORNIA;Sanger;25 443;156;0;9;15;132;304;59;178;67;0
CALIFORNIA;San Jacinto;49 452;108;2;1;68;37;1 637;334;1 018;285;5
CALIFORNIA;San Jose;1 040 008;4 559;32;671;1 339;2 517;25 164;4 114;14 924;6 126;135
CALIFORNIA;San Juan Capistrano;36 209;63;2;4;20;37;297;69;201;27;2
CALIFORNIA;San Leandro;90 297;454;0;18;283;153;4 105;375;2 941;789;16
CALIFORNIA;San Luis Obispo;47 735;192;0;44;34;114;1 738;277;1 387;74;25
CALIFORNIA;San Marcos;98 598;193;0;17;46;130;955;163;649;143;3
CALIFORNIA;San Marino;13 196;14;0;1;3;10;208;77;126;5;0
CALIFORNIA;San Mateo;106 020;266;2;45;68;151;2 217;516;1 523;178;9
CALIFORNIA;San Pablo;31 336;194;2;7;102;83;1 009;101;589;319;11
CALIFORNIA;San Rafael;58 819;230;0;23;87;120;1 686;299;1 173;214;13
CALIFORNIA;San Ramon;76 387;58;0;4;21;33;1 099;179;869;51;3
CALIFORNIA;Santa Ana;333 664;1 453;13;207;472;761;6 808;854;4 611;1 343;49
CALIFORNIA;Santa Barbara;91 717;400;2;72;82;244;2 118;254;1 686;178;15
CALIFORNIA;Santa Clara;131 173;214;0;35;73;106;4 748;363;4 013;372;18
CALIFORNIA;Santa Clarita;218 103;277;2;49;89;137;2 059;392;1 448;219;17
CALIFORNIA;Santa Cruz;65 263;389;0;29;88;272;2 932;348;2 363;221;34
CALIFORNIA;Santa Fe Springs;18 041;105;2;10;42;51;1 035;205;654;176;6
CALIFORNIA;Santa Monica;91 621;664;3;40;247;374;3 964;577;3 143;244;19
CALIFORNIA;Santa Paula;30 098;91;2;6;21;62;404;103;272;29;3
CALIFORNIA;Santa Rosa;177 884;857;3;146;126;582;2 874;486;2 077;311;28
CALIFORNIA;Santee;58 701;98;0;8;29;61;806;74;659;73;7
CALIFORNIA;Saratoga;30 666;16;0;4;2;10;240;104;122;14;5
CALIFORNIA;Sausalito;7 118;7;0;0;1;6;258;21;224;13;0
CALIFORNIA;Scotts Valley;11 875;13;0;2;1;10;141;31;102;8;2
CALIFORNIA;Seal Beach;24 120;19;0;1;10;8;551;62;458;31;0
CALIFORNIA;Seaside;34 036;78;3;11;12;52;439;44;329;66;5
CALIFORNIA;Sebastopol;7 815;21;0;3;7;11;177;51;110;16;2
CALIFORNIA;Selma;24 983;85;3;6;25;51;605;204;280;121;0
CALIFORNIA;Shafter;20 456;53;0;3;9;41;513;127;298;88;8
CALIFORNIA;Sierra Madre;10 917;15;0;1;0;14;79;29;46;4;0
CALIFORNIA;Signal Hill;11 624;95;0;1;27;67;678;110;491;77;3
CALIFORNIA;Simi Valley;126 025;146;1;15;35;95;1 188;208;889;91;7
CALIFORNIA;Solana Beach;13 440;13;0;3;4;6;173;39;115;19;0
CALIFORNIA;Soledad;26 015;53;0;4;14;35;136;24;83;29;5
CALIFORNIA;Solvang;5 962;10;0;0;2;8;68;18;46;4;0
CALIFORNIA;Sonoma;11 323;38;0;6;1;31;122;21;95;6;1
CALIFORNIA;Sonora;4 867;26;0;6;6;14;269;69;180;20;4
CALIFORNIA;South El Monte;20 852;102;1;11;32;58;500;132;254;114;3
CALIFORNIA;South Gate;94 445;622;4;21;179;418;2 754;351;1 663;740;26
CALIFORNIA;South Lake Tahoe;22 116;111;2;10;20;79;449;79;335;35;0
CALIFORNIA;South Pasadena;25 612;29;0;2;11;16;566;94;434;38;0
CALIFORNIA;South San Francisco;68 251;166;2;19;64;81;1 484;230;1 074;180;7
CALIFORNIA;Stallion Springs;2 648;7;1;1;0;5;19;5;13;1;0
CALIFORNIA;Stanton;38 276;95;3;10;31;51;526;83;344;99;7
CALIFORNIA;St. Helena;6 195;12;0;1;1;10;67;21;43;3;0
CALIFORNIA;Stockton;313 604;4 380;34;181;1 158;3 007;12 367;2 209;8 480;1 678;128
CALIFORNIA;Suisun City;29 922;114;0;11;35;68;664;69;479;116;11
CALIFORNIA;Sunnyvale;154 859;259;0;37;84;138;3 380;458;2 598;324;32
CALIFORNIA;Susanville;14 878;196;0;7;10;179;207;45;157;5;0
CALIFORNIA;Sutter Creek;2 624;3;0;1;0;2;44;8;30;6;2
CALIFORNIA;Taft;9 413;67;0;6;4;57;244;70;149;25;0
CALIFORNIA;Tehachapi;12 211;60;2;8;7;43;327;70;231;26;0
CALIFORNIA;Temecula;116 630;166;1;8;72;85;2 626;318;2 018;290;5
CALIFORNIA;Temple City;36 192;64;1;7;23;33;331;122;175;34;1
CALIFORNIA;Thousand Oaks;127 811;88;0;27;23;38;1 392;244;1 084;64;2
CALIFORNIA;Tiburon;9 135;0;0;0;0;0;82;13;67;2;0
CALIFORNIA;Torrance;145 183;280;3;26;114;137;2 853;399;2 161;293;12
CALIFORNIA;Tracy;92 895;166;5;35;62;64;1 843;156;1 411;276;14
CALIFORNIA;Truckee;16 611;31;0;3;4;24;114;36;66;12;1
CALIFORNIA;Tulare;65 134;261;4;27;69;161;1 469;225;951;293;11
CALIFORNIA;Tulelake;985;3;0;1;0;2;4;1;3;0;0
CALIFORNIA;Turlock;74 120;426;1;29;138;258;2 323;402;1 483;438;34
CALIFORNIA;Tustin;80 356;141;1;16;61;63;2 118;241;1 694;183;6
CALIFORNIA;Twentynine Palms;26 588;117;0;10;15;92;265;96;134;35;4
CALIFORNIA;Ukiah;16 197;110;1;9;24;76;298;117;147;34;23
CALIFORNIA;Union City;75 202;277;2;8;79;188;1 718;192;1 300;226;9
CALIFORNIA;Upland;77 398;298;3;20;107;168;1 821;368;1 206;247;11
CALIFORNIA;Vacaville;101 147;331;3;47;80;201;2 442;162;2 120;160;8
CALIFORNIA;Vallejo;122 657;1 037;12;138;336;551;4 941;2 888;1 148;905;52
CALIFORNIA;Ventura;111 596;458;3;56;106;293;2 969;353;2 362;254;7
CALIFORNIA;Vernon;112;27;0;1;12;14;485;133;272;80;5
CALIFORNIA;Victorville;123 089;988;5;45;255;683;2 271;590;1 061;620;21
CALIFORNIA;Villa Park;5 840;4;0;0;0;4;44;9;35;0;0
CALIFORNIA;Visalia;134 961;586;4;111;159;312;3 900;747;2 627;526;20
CALIFORNIA;Vista;102 227;354;2;38;93;221;1 438;251;945;242;6
